DEMAND_ID,facility_id,time_min,distance_m,facility_id_foot,time_min_foot,departamento_x,facility_id_bike,time_min_bike,departamento_y,ratio_foot_car,ratio_bike_car,cambia_establecimiento_auto_vs_pie
0,27857,70.40609449574427,62114.890350116664,27857.0,842.7555314631755,JUNIN,27857.0,266.2066729290715,JUNIN,11.969923022986544,3.781017464974747,0.0
2,340,60.571969467355565,44819.32016390288,340.0,597.3586656864769,JUNIN,340.0,192.08280070244092,JUNIN,9.86196537671464,3.1711499954770552,0.0
3,34252,10.91234508705475,7111.718426473981,34252.0,94.82291235298642,JUNIN,34252.0,30.478793256317058,JUNIN,8.689508221791325,2.793056214147211,0.0
4,442,26.46631356956053,19070.815379858806,432.0,227.9678574305217,JUNIN,432.0,73.90439521378933,JUNIN,8.613510031586431,2.7923947556787185,1.0
5,25383,78.05663409568147,49437.911648295,25383.0,651.9944631113689,JUNIN,25383.0,211.87676420697866,JUNIN,8.352838559656018,2.714397906874399,0.0
6,432,125.22145394278101,95709.48114793193,432.0,1274.8006417202444,JUNIN,432.0,410.183490633994,JUNIN,10.180369270450692,3.275664654248658,0.0
7,308,28.451501394055075,24113.473369955675,308.0,317.96036001869015,JUNIN,308.0,102.20154429172183,JUNIN,11.17552130606112,3.5921318483767886,0.0
8,4370,36.59847405459023,34905.823372428924,4370.0,465.41643904076585,LAMBAYEQUE,4370.0,149.59638588183816,LAMBAYEQUE,12.71682634490584,4.087503365815209,0.0
9,8653,48.11680212868452,34232.13413576918,8653.0,461.11043032689685,JUNIN,8653.0,146.7091462961536,JUNIN,9.583147880312039,3.0490211278752852,0.0
11,27857,16.62811877386506,12482.71711338037,27857.0,166.4362281784049,JUNIN,27857.0,53.49735905734445,JUNIN,10.009323991598976,3.2172827115853857,0.0
12,520,59.6310654927146,46029.99076362705,520.0,584.7369338478338,JUNIN,520.0,187.95115730823233,JUNIN,9.805911214504022,3.151900033233436,0.0
15,8653,30.87234070422402,30568.0311323562,8653.0,407.4708980027867,JUNIN,8653.0,131.00584771009798,JUNIN,13.198574798931125,4.243469873736315,0.0
16,11129,50.07020333018491,46235.04101149264,30057.0,635.9697789486052,LAMBAYEQUE,30057.0,195.87580933324105,LAMBAYEQUE,12.701561740317713,3.912023445192542,1.0
17,308,26.160626768224407,16667.836774517975,308.0,227.63887653889182,JUNIN,308.0,71.43358617650564,JUNIN,8.701583435125865,2.730576251455539,0.0
20,34252,22.627353680264253,18808.888913683306,34252.0,250.78518551577736,JUNIN,34252.0,80.60952391578563,JUNIN,11.083275095245188,3.562481280614527,0.0
21,519,96.45057935793186,76151.3154437238,519.0,1040.9602947205997,JUNIN,519.0,326.3627804731019,JUNIN,10.792680579528252,3.383730638485404,0.0
22,11129,68.82093490769692,61012.94061326898,30057.0,819.0602122623567,LAMBAYEQUE,30057.0,259.2096647694253,LAMBAYEQUE,11.901323534196178,3.7664362612492686,1.0
23,27857,70.40609449574427,62114.890350116664,27857.0,842.7555314631755,JUNIN,27857.0,266.2066729290715,JUNIN,11.969923022986544,3.781017464974747,0.0
24,4370,154.22279963934523,112430.93431316661,4370.0,1499.0791241755553,LAMBAYEQUE,4370.0,481.8468613421427,LAMBAYEQUE,9.720217293948743,3.124355558769238,0.0
26,4370,32.70349884135969,30250.355487008106,4370.0,409.0717613045771,LAMBAYEQUE,4370.0,129.64438065860617,LAMBAYEQUE,12.508501408027612,3.9642357928579375,0.0
27,27857,6.2515563678995605,3190.80929249149,27857.0,42.54412389988652,JUNIN,27857.0,13.674896967820672,JUNIN,6.805365159681153,2.1874388013260857,0.0
28,8656,43.51964375702199,35087.50103030115,8656.0,468.0055390021858,JUNIN,8656.0,150.37500441557643,JUNIN,10.753891773911226,3.4553362903232197,0.0
30,519,49.91061695560102,43203.211522994294,519.0,576.0428203065904,JUNIN,519.0,185.15662081283273,JUNIN,11.54148867402342,3.709764216650387,0.0
31,520,33.26030787572207,26871.533855811012,520.0,345.1768559486377,JUNIN,520.0,110.25007201457635,JUNIN,10.378041515382215,3.3147640252317676,0.0
32,4370,48.42880576286647,42629.41294065716,4370.0,568.3921725420952,LAMBAYEQUE,4370.0,182.69748403138777,LAMBAYEQUE,11.736654736547697,3.7724961653189037,0.0
