departamento,n_pares,factor_detour_mediana,factor_detour_media,factor_detour_p90
LAMBAYEQUE,13632,1.1945019498908924,1.2342072618221898,1.4515858210324792
JUNIN,66404,1.4635139314998549,1.5926896219244224,2.133837965318424
LORETO,900,1.1939550497624956,1.2312905782344743,1.4422687212654925
