banda,poblacion,poblacion_total_grupo,pct_poblacion
<= 120 min,253882.88363910647,3738681.0,0.06790707301294399
<= 30 min,2058444.812817644,3738681.0,0.5505804888990647
<= 60 min,515062.2434951153,3738681.0,0.13776576378009125
> 120 min,105883.4968264189,3738681.0,0.028321083512184885
SIN_RUTA,805407.5632217154,3738681.0,0.21542559079571522
