DEMAND_ID,UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,POBLACION_CP,ES_URBANO,time_min_car,ALCANZABLE
4274,120504,ULCUMAYO,JUNIN,JUNIN,93.27419354838709,False,65.73957374468479,True
4275,140310,SALAS,LAMBAYEQUE,LAMBAYEQUE,200.86153846153846,False,112.40417288874228,True
4276,160112,BELEN,MAYNAS,LORETO,2504.548387096774,False,,False
4277,160705,PASTAZA,DATEM DEL MARAÑON,LORETO,138.2127659574468,False,,False
4278,120807,SANTA BARBARA DE CARHUACAYAN,YAULI,JUNIN,24.989473684210523,False,116.0162968070476,True
4279,120708,SAN PEDRO DE CAJAS,TARMA,JUNIN,153.21621621621622,False,31.724746825753122,True
4280,160101,IQUITOS,MAYNAS,LORETO,10790.857142857143,False,,False
4281,120609,VIZCATAN DEL ENE,SATIPO,JUNIN,223.3125,False,,False
4282,140106,LA VICTORIA,CHICLAYO,LAMBAYEQUE,6204.599999999999,False,7.607828189143288,True
4283,160605,SARAYACU,UCAYALI,LORETO,676.5200000000001,False,,False
4284,120809,SUITUCANCHA,YAULI,JUNIN,15.599999999999998,False,56.96436572679025,True
4285,160202,BALSAPUERTO,ALTO AMAZONAS,LORETO,311.0689655172414,False,,False
4286,120604,MAZAMARI,SATIPO,JUNIN,1065.8032786885246,False,28.872478238982865,True
4287,160304,TROMPETEROS,LORETO,LORETO,533.1428571428572,False,,False
4288,120803,HUAY-HUAY,YAULI,JUNIN,22.333333333333332,False,42.8467689385483,True
4289,120501,JUNIN,JUNIN,JUNIN,96.85714285714286,False,20.971481381660176,True
4290,160505,MAQUIA,REQUENA,LORETO,340.32000000000005,False,,False
4291,120128,QUILCAS,HUANCAYO,JUNIN,152.42857142857142,False,25.729737339744787,True
4292,120108,CHONGOS ALTO,HUANCAYO,JUNIN,33.475,False,102.68018236070921,True
4293,120606,PANGOA,SATIPO,JUNIN,618.2346938775511,False,72.03350758744719,True
4294,140307,MOTUPE,LAMBAYEQUE,LAMBAYEQUE,749.5833333333334,True,60.55645957770872,True
4295,160103,FERNANDO LORES,MAYNAS,LORETO,349.93220338983053,False,,False
4296,120114,EL TAMBO,HUANCAYO,JUNIN,6923.458333333333,False,2.9831191612788914,True
4297,120504,ULCUMAYO,JUNIN,JUNIN,93.27419354838709,False,86.26940186136984,True
4298,120708,SAN PEDRO DE CAJAS,TARMA,JUNIN,153.21621621621622,False,29.8929802443023,True
4299,160505,MAQUIA,REQUENA,LORETO,340.32000000000005,True,,False
4300,160503,CAPELO,REQUENA,LORETO,507.1111111111111,False,,False
4301,120802,CHACAPALPA,YAULI,JUNIN,10.352941176470587,False,30.87234070422402,True
4302,140205,PITIPO,FERREÑAFE,LAMBAYEQUE,691.8285714285714,False,37.25911618924922,True
4303,160402,PEBAS,MARISCAL RAMON CASTILLA,LORETO,346.1372549019608,False,,False
4304,140308,OLMOS,LAMBAYEQUE,LAMBAYEQUE,437.7578947368421,False,107.4773405435015,True
4305,160502,ALTO TAPICHE,REQUENA,LORETO,164.53846153846155,False,,False
4306,140110,OYOTUN,CHICLAYO,LAMBAYEQUE,449.0454545454545,False,79.8410353990575,True
4307,120418,MOLINOS,JAUJA,JUNIN,89.52941176470588,False,64.52238280433801,True
4308,120607,RIO NEGRO,SATIPO,JUNIN,650.0,False,62.41496652170746,True
4309,120204,CHAMBARA,CONCEPCION,JUNIN,320.2222222222222,False,51.69669368447149,True
4310,140307,MOTUPE,LAMBAYEQUE,LAMBAYEQUE,749.5833333333334,False,46.67649085245691,True
4311,120803,HUAY-HUAY,YAULI,JUNIN,22.333333333333332,False,49.5576414857473,True
4312,160301,NAUTA,LORETO,LORETO,567.2407407407408,False,,False
4313,120301,CHANCHAMAYO,CHANCHAMAYO,JUNIN,654.3684210526316,False,23.41047753385593,True
4314,120108,CHONGOS ALTO,HUANCAYO,JUNIN,33.475,False,,False
4315,120303,PICHANAQUI,CHANCHAMAYO,JUNIN,1118.71875,False,23.828426540601367,True
