clase,n_centros_poblados,poblacion_total,tiempo_medio_ponderado_min,pct_sin_ruta
rural,4918,3664972.0751869082,29.047780945539664,0.28934526230174873
urbano,82,73708.92481309189,12.109373954649332,0.18292682926829273
